ts_utc,elapsed_s,scenario,deployment,replicas,ready,cpu_pct,desired
2026-07-13T00:46:52Z,350,hpa,patient-data,1,1,3,1
2026-07-13T00:46:52Z,350,hpa,data-transform,1,1,0,1
2026-07-13T00:46:58Z,356,hpa,api-gateway,2,2,11,2
2026-07-13T00:46:58Z,356,hpa,authorization,1,1,6,1
2026-07-13T00:46:58Z,356,hpa,patient-data,1,1,13,1
2026-07-13T00:46:58Z,356,hpa,data-transform,1,1,4,1
2026-07-13T00:47:03Z,361,hpa,api-gateway,2,2,11,2
2026-07-13T00:47:03Z,361,hpa,authorization,1,1,6,1
2026-07-13T00:47:03Z,361,hpa,patient-data,1,1,13,1
2026-07-13T00:47:03Z,361,hpa,data-transform,1,1,4,1
2026-07-13T00:47:08Z,366,hpa,api-gateway,2,2,11,2
2026-07-13T00:47:08Z,366,hpa,authorization,1,1,6,1
2026-07-13T00:47:08Z,366,hpa,patient-data,1,1,13,1
2026-07-13T00:47:08Z,366,hpa,data-transform,1,1,4,1
2026-07-13T00:47:14Z,372,hpa,api-gateway,2,2,18,2
2026-07-13T00:47:14Z,372,hpa,authorization,1,1,8,1
2026-07-13T00:47:14Z,372,hpa,patient-data,1,1,18,1
2026-07-13T00:47:14Z,372,hpa,data-transform,1,1,4,1
2026-07-13T00:47:19Z,377,hpa,api-gateway,2,2,18,2
2026-07-13T00:47:19Z,377,hpa,authorization,1,1,8,1
2026-07-13T00:47:19Z,377,hpa,patient-data,1,1,18,1
2026-07-13T00:47:19Z,377,hpa,data-transform,1,1,4,1
2026-07-13T00:47:24Z,382,hpa,api-gateway,2,2,18,2
2026-07-13T00:47:24Z,382,hpa,authorization,1,1,8,1
2026-07-13T00:47:24Z,382,hpa,patient-data,1,1,18,1
2026-07-13T00:47:24Z,382,hpa,data-transform,1,1,4,1
2026-07-13T00:47:30Z,388,hpa,api-gateway,1,1,18,1
2026-07-13T00:47:30Z,388,hpa,authorization,1,1,12,1
2026-07-13T00:47:30Z,388,hpa,patient-data,1,1,18,1
2026-07-13T00:47:30Z,388,hpa,data-transform,1,1,6,1
2026-07-13T00:47:35Z,393,hpa,api-gateway,1,1,18,1
2026-07-13T00:47:35Z,393,hpa,authorization,1,1,12,1
2026-07-13T00:47:35Z,393,hpa,patient-data,1,1,18,1
2026-07-13T00:47:35Z,393,hpa,data-transform,1,1,6,1
2026-07-13T00:47:40Z,398,hpa,api-gateway,1,1,18,1
2026-07-13T00:47:40Z,398,hpa,authorization,1,1,12,1
2026-07-13T00:47:40Z,398,hpa,patient-data,1,1,18,1
2026-07-13T00:47:40Z,398,hpa,data-transform,1,1,6,1
2026-07-13T00:47:46Z,404,hpa,api-gateway,1,1,32,1
2026-07-13T00:47:46Z,404,hpa,authorization,1,1,8,1
